;EMILIA-ROMAGNA;FRIULI-VENEZIA GIULIA;MOLISE;LAZIO;CAMPANIA;SARDEGNA;UMBRIA;SICILIA;CALABRIA;BASILICATA;VALLE D'AOSTA;MARCHE;TOSCANA;VENETO;TIMESTAMP;LIGURIA;ABRUZZO;TRENTINO-ALTO ADIGE;PIEMONTE;ITALIA;PUGLIA;LOMBARDIA
12.014;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_120051;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.031;0.3;0.0;0.0;0.0;0.36;0.0;0.0;0.0;0.99;0.0;0.0;0.0;0.0;0.0;180304_120151;0.43;0.33;0.68;0.33;0.23;0.0;0.2
12.047;0.6;0.0;0.0;0.0;1.27;0.8;1.09;0.0;4.94;2.29;0.0;0.0;0.0;0.35;180304_120251;3.85;2.62;3.42;1.5;1.17;0.0;0.66
12.064;0.6;0.93;0.0;0.0;2.18;1.86;1.09;0.0;6.91;6.87;0.0;0.44;0.0;1.05;180304_120351;8.12;4.26;5.82;3.01;2.15;0.39;1.12
12.09;2.72;3.26;0.0;0.53;4.36;5.04;1.09;0.51;10.62;12.98;0.0;3.93;0.36;2.96;180304_120524;16.24;9.18;11.3;6.02;4.52;2.33;2.11
12.107;4.83;7.44;0.0;2.65;7.64;14.06;1.09;1.54;15.06;21.37;0.0;10.04;1.09;6.45;180304_120624;20.51;13.77;18.84;10.28;7.85;3.49;3.43
12.123;5.44;10.23;0.0;3.7;9.64;20.69;1.09;2.56;18.27;23.66;0.0;13.1;1.09;8.19;180304_120724;21.79;16.72;23.63;11.7;9.59;3.88;4.02
12.14;7.55;13.02;0.0;5.03;12.18;27.32;1.09;4.1;22.96;27.48;0.0;17.9;4.01;11.32;180304_120824;28.21;20.66;27.74;13.95;12.26;6.2;5.15
12.157;9.06;14.88;0.0;7.41;14.0;29.97;5.43;5.64;25.68;38.93;0.0;21.4;6.93;13.94;180304_120924;35.47;22.95;31.51;16.12;14.73;7.75;6.86
12.173;10.27;18.14;0.74;8.47;15.09;37.4;8.7;7.95;26.91;45.04;0.0;23.14;9.12;16.03;180304_121024;41.45;25.57;35.27;18.3;17.03;10.08;8.25
12.19;13.6;24.65;3.68;10.05;16.55;41.91;18.48;9.23;30.86;49.62;0.0;27.95;11.31;20.38;180304_121124;46.15;28.52;39.04;20.72;20.03;13.18;10.42
12.207;16.92;29.77;6.62;13.49;19.82;49.6;28.26;13.85;36.3;54.2;0.0;34.5;16.06;25.96;180304_121224;48.29;33.11;43.49;24.14;24.34;18.22;14.12
12.224;18.73;32.56;7.35;14.81;21.27;51.99;30.43;15.38;38.02;54.96;0.0;35.81;18.25;27.18;180304_121325;49.57;35.08;45.21;25.48;25.85;20.93;15.17
12.24;23.56;36.28;8.82;17.2;24.0;57.03;31.52;19.49;41.48;63.36;0.0;41.92;24.45;31.88;180304_121425;52.56;40.0;48.97;28.57;29.69;28.68;18.27
12.257;25.98;37.67;10.29;18.52;24.91;59.15;31.52;21.28;42.96;63.36;0.0;44.54;27.37;33.62;180304_121525;52.99;41.64;51.03;29.82;31.21;30.62;19.66
12.274;29.61;42.79;12.5;21.96;26.36;63.4;32.61;25.9;46.67;72.52;0.0;50.22;30.66;38.33;180304_121625;58.12;44.92;56.16;32.16;34.69;34.88;22.49
12.29;34.44;49.77;15.44;27.51;29.09;67.37;42.39;33.59;50.37;75.57;0.0;56.33;37.96;43.73;180304_121725;61.11;49.84;61.64;34.67;38.89;43.02;24.87
12.307;34.44;49.77;15.44;27.51;29.09;67.37;42.39;33.59;50.37;75.57;0.0;56.33;37.96;43.73;180304_121825;61.11;49.84;61.64;34.67;38.89;43.02;24.87
12.324;41.39;53.95;19.85;31.75;31.64;71.88;52.17;39.23;52.1;76.34;0.0;59.39;43.43;52.79;180304_121925;67.52;55.08;67.47;37.76;43.23;48.06;28.1
12.341;45.62;58.6;26.47;34.13;36.73;76.13;57.61;43.59;54.81;82.44;0.0;63.76;47.08;58.54;180304_122026;71.79;58.03;73.29;40.69;47.17;50.78;31.79
12.357;45.62;58.6;26.47;34.13;36.73;76.13;57.61;43.59;54.81;82.44;0.0;63.76;47.08;58.54;180304_122126;71.79;58.03;73.29;40.69;47.17;50.78;31.79
12.374;53.17;65.58;31.62;41.01;43.09;82.49;58.7;51.28;60.74;87.79;0.0;67.25;57.3;64.11;180304_122226;74.36;60.98;78.77;45.03;52.68;56.59;36.94
12.391;56.8;66.98;33.09;42.59;45.45;83.29;61.96;53.59;61.98;90.08;0.0;69.87;60.95;68.64;180304_122326;75.21;62.3;79.45;46.87;54.75;59.3;38.72
12.407;60.42;68.37;36.76;44.44;47.82;85.94;66.3;56.41;65.43;91.6;0.0;71.62;66.06;70.56;180304_122426;76.92;65.25;81.16;48.54;57.19;61.63;41.36
12.424;66.47;69.77;41.91;46.3;48.91;86.74;70.65;59.74;68.15;91.6;0.0;75.55;69.71;73.17;180304_122526;80.34;67.54;82.53;50.71;59.69;64.34;43.93
12.441;70.09;71.63;43.38;47.88;51.82;87.8;75.0;62.56;70.86;92.37;0.0;77.73;73.36;75.26;180304_122626;83.33;69.18;83.9;52.05;61.84;65.89;46.37
12.457;74.02;74.42;46.32;51.32;55.64;89.66;79.35;64.87;72.84;92.37;0.0;80.35;75.18;78.05;180304_122726;85.9;71.8;85.96;54.72;64.84;68.6;50.86
12.474;76.74;77.67;48.53;53.7;58.0;90.72;82.61;67.69;74.81;92.37;0.0;81.22;77.74;80.31;180304_122826;86.75;73.44;87.33;56.31;66.98;71.71;53.69
12.491;77.34;79.07;50.74;55.03;58.73;90.98;83.7;68.72;75.31;93.13;0.0;81.66;78.47;81.01;180304_122927;87.61;74.1;88.01;57.06;67.87;72.48;55.08
12.508;82.18;81.4;54.41;57.94;61.27;92.04;86.96;72.82;77.53;94.66;0.0;87.34;83.58;85.02;180304_123027;89.32;75.74;90.41;58.98;71.14;75.19;60.29
12.524;83.08;82.33;55.88;58.2;61.82;92.57;89.13;73.59;78.27;95.42;0.0;87.77;83.94;85.37;180304_123127;89.32;76.07;91.1;59.4;71.69;75.19;60.95
12.541;85.8;84.19;59.56;59.52;64.18;93.63;91.3;75.9;81.23;96.18;0.0;90.39;87.59;87.63;180304_123227;90.17;78.69;92.81;60.82;73.88;77.52;63.79
12.558;87.92;86.98;61.76;60.58;66.73;93.9;91.3;77.95;83.46;96.18;0.0;92.58;90.15;89.9;180304_123327;90.6;79.67;94.18;61.65;75.45;78.29;65.63
