;EMILIA-ROMAGNA;FRIULI-VENEZIA GIULIA;MOLISE;LAZIO;CAMPANIA;SARDEGNA;UMBRIA;SICILIA;CALABRIA;BASILICATA;VALLE D'AOSTA;MARCHE;TOSCANA;VENETO;TIMESTAMP;LIGURIA;ABRUZZO;TRENTINO-ALTO ADIGE;PIEMONTE;ITALIA;PUGLIA;LOMBARDIA
12.014;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_120051;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.031;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_120151;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.047;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_120251;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.064;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_120351;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.09;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_120524;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.107;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_120624;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.123;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_120724;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_120824;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.157;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_120924;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.173;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_121024;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.19;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_121124;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.207;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_121224;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.224;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_121325;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.24;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_121425;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.257;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_121525;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.274;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_121625;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.29;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_121725;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.307;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_121825;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.324;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_121925;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.341;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_122026;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.357;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_122126;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.374;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_122226;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.391;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_122326;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.407;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_122426;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.424;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_122526;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.441;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_122626;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.457;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_122726;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.474;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_122826;0.0;0.0;0.0;0.0;0.0;0.0;0.0
