;ITALIA AGLI ITALIANI;PARTITO COMUNISTA;IL POPOLO DELLA FAMIGLIA;ITALIA EUROPA INSIEME;FORZA ITALIA;AUTODETERMINATZIONE;MOVIMENTO 5 STELLE;NOI CON L'ITALIA - UDC;+EUROPA;sezioni_tot;DESTRE UNITE - FORCONI;SMS - STATO MODERNO SOLIDALE;PARTITO DEMOCRATICO;sezioni_perv;PARTITO REPUBBLICANO ITALIANO - ALA;CASAPOUND ITALIA;FRATELLI D'ITALIA CON GIORGIA MELONI;sezioni_perv_perc;PATTO PER L'AUTONOMIA;POTERE AL POPOLO!;SVP - PATT;RINASCIMENTO MIR;GRANDE NORD;CIVICA POPOLARE LORENZIN;LISTA DEL POPOLO PER LA COSTITUZIONE;PARTITO VALORE UMANO;DEMOCRAZIA CRISTIANA;TIMESTAMP;PER UNA SINISTRA RIVOLUZIONARIA;SIAMO;LEGA;LIBERI E UGUALI
23.981;0.53;0.21;1.0;0.61;11.2;0.0;23.08;1.36;2.44;61401.0;0.03;0.0;24.45;24.0;0.17;0.78;3.55;0.0;0.03;0.57;0.0;0.0;0.07;0.78;0.07;0.17;0.0;180304_235850;0.03;0.0;26.64;2.11
24.031;0.54;0.25;0.86;0.57;10.51;0.0;23.36;1.12;2.58;61401.0;0.02;0.0;23.96;29.0;0.14;0.68;3.59;0.0;0.02;0.54;0.0;0.0;0.11;0.63;0.05;0.17;0.0;180305_000151;0.02;0.0;28.04;2.12
24.081;0.58;0.15;0.65;0.53;11.36;0.0;24.82;0.83;2.97;61401.0;0.01;0.0;23.32;41.0;0.12;0.69;3.57;0.001;0.01;0.69;0.0;0.0;0.1;0.84;0.03;0.17;0.0;180305_000451;0.05;0.0;25.74;2.67
24.131;0.73;0.15;0.7;0.74;11.05;0.0;24.27;0.78;2.83;61401.0;0.01;0.0;22.48;47.0;0.11;0.64;3.78;0.001;0.01;0.7;0.0;0.0;0.15;0.71;0.02;0.34;0.0;180305_000752;0.07;0.0;27.21;2.42
24.181;0.71;0.13;0.72;0.79;11.87;0.0;24.06;1.06;2.54;61401.0;0.0;0.0;20.67;68.0;0.15;0.71;3.93;0.001;0.02;0.8;0.0;0.0;0.12;0.62;0.01;0.3;0.0;180305_001052;0.07;0.0;28.14;2.46
24.231;0.59;0.19;0.68;0.72;12.07;0.0;24.18;1.0;2.75;61401.0;0.0;0.0;21.72;86.0;0.15;0.76;3.86;0.001;0.02;0.84;0.0;0.0;0.12;0.57;0.01;0.27;0.0;180305_001352;0.07;0.0;26.46;2.88
24.281;0.55;0.21;0.62;0.7;12.04;0.0;24.47;1.01;2.6;61401.0;0.0;0.0;21.93;95.0;0.13;0.76;3.95;0.002;0.03;0.87;0.0;0.0;0.15;0.5;0.01;0.25;0.0;180305_001653;0.11;0.0;26.14;2.85
24.331;0.53;0.21;0.58;0.65;12.16;0.0;25.73;0.85;2.72;61401.0;0.0;0.0;21.81;113.0;0.1;0.81;3.81;0.002;0.05;0.9;0.0;0.0;0.16;0.44;0.03;0.23;0.0;180305_001953;0.12;0.0;24.81;3.16
24.381;0.52;0.18;0.62;0.61;11.88;0.03;25.55;0.85;2.92;61401.0;0.01;0.0;21.6;141.0;0.14;0.83;3.61;0.002;0.05;0.91;0.0;0.0;0.18;0.41;0.03;0.25;0.0;180305_002253;0.1;0.01;25.4;3.2
24.431;0.53;0.19;0.65;0.59;11.9;0.02;25.77;0.86;2.82;61401.0;0.01;0.0;21.18;161.0;0.14;0.82;3.63;0.003;0.05;0.86;0.0;0.0;0.19;0.4;0.03;0.26;0.0;180305_002553;0.1;0.0;25.78;3.11
