;ITALIA AGLI ITALIANI;PARTITO COMUNISTA;IL POPOLO DELLA FAMIGLIA;ITALIA EUROPA INSIEME;FORZA ITALIA;AUTODETERMINATZIONE;MOVIMENTO 5 STELLE;NOI CON L'ITALIA - UDC;+EUROPA;sezioni_tot;DESTRE UNITE - FORCONI;SMS - STATO MODERNO SOLIDALE;PARTITO DEMOCRATICO;sezioni_perv;PARTITO REPUBBLICANO ITALIANO - ALA;CASAPOUND ITALIA;FRATELLI D'ITALIA CON GIORGIA MELONI;sezioni_perv_perc;PATTO PER L'AUTONOMIA;POTERE AL POPOLO!;SVP - PATT;RINASCIMENTO MIR;GRANDE NORD;CIVICA POPOLARE LORENZIN;LISTA DEL POPOLO PER LA COSTITUZIONE;PARTITO VALORE UMANO;DEMOCRAZIA CRISTIANA;TIMESTAMP;PER UNA SINISTRA RIVOLUZIONARIA;SIAMO;LEGA;LIBERI E UGUALI
23.981;15.0;6.0;28.0;17.0;312.0;0.0;643.0;38.0;68.0;61401.0;1.0;0.0;681.0;24.0;5.0;22.0;99.0;0.0;1.0;16.0;0.0;0.0;2.0;22.0;2.0;5.0;0.0;180304_235850;1.0;0.0;742.0;59.0
24.031;19.0;9.0;30.0;20.0;366.0;0.0;813.0;39.0;90.0;61401.0;1.0;0.0;834.0;29.0;5.0;24.0;125.0;0.0;1.0;19.0;0.0;0.0;4.0;22.0;2.0;6.0;0.0;180305_000151;1.0;0.0;976.0;74.0
24.081;33.0;9.0;37.0;30.0;642.0;0.0;1403.0;47.0;168.0;61401.0;1.0;0.0;1318.0;41.0;7.0;39.0;202.0;0.001;1.0;39.0;0.0;0.0;6.0;48.0;2.0;10.0;0.0;180305_000451;3.0;0.0;1455.0;151.0
24.131;51.0;11.0;49.0;52.0;772.0;0.0;1695.0;55.0;198.0;61401.0;1.0;0.0;1570.0;47.0;8.0;45.0;264.0;0.001;1.0;49.0;0.0;0.0;11.0;50.0;2.0;24.0;0.0;180305_000752;5.0;0.0;1900.0;169.0
24.181;75.0;14.0;76.0;83.0;1243.0;0.0;2520.0;111.0;267.0;61401.0;1.0;0.0;2165.0;68.0;16.0;75.0;412.0;0.001;3.0;84.0;0.0;0.0;13.0;65.0;2.0;32.0;0.0;180305_001052;8.0;1.0;2947.0;258.0
24.231;81.0;26.0;93.0;99.0;1650.0;0.0;3305.0;138.0;377.0;61401.0;1.0;0.0;2969.0;86.0;21.0;104.0;528.0;0.001;4.0;115.0;0.0;0.0;17.0;78.0;2.0;37.0;0.0;180305_001352;10.0;1.0;3617.0;394.0
24.281;87.0;34.0;99.0;111.0;1893.0;0.0;3847.0;159.0;410.0;61401.0;1.0;0.0;3448.0;95.0;21.0;121.0;621.0;0.002;6.0;137.0;0.0;1.0;24.0;80.0;2.0;40.0;0.0;180305_001653;18.0;1.0;4109.0;448.0
24.331;110.0;45.0;121.0;135.0;2521.0;0.0;5330.0;178.0;565.0;61401.0;2.0;0.0;4520.0;113.0;21.0;168.0;790.0;0.002;12.0;187.0;0.0;1.0;35.0;93.0;8.0;49.0;0.0;180305_001953;25.0;2.0;5141.0;656.0
24.381;152.0;55.0;182.0;180.0;3460.0;9.0;7439.0;250.0;850.0;61401.0;3.0;0.0;6287.0;141.0;43.0;242.0;1053.0;0.002;16.0;265.0;0.0;1.0;53.0;120.0;9.0;75.0;0.0;180305_002253;32.0;3.0;7394.0;932.0
24.431;178.0;63.0;217.0;197.0;3926.0;9.0;8503.0;286.0;932.0;61401.0;5.0;0.0;6988.0;161.0;47.0;271.0;1200.0;0.003;17.0;286.0;0.0;1.0;63.0;134.0;10.0;87.0;0.0;180305_002553;34.0;3.0;8507.0;1026.0
24.482;223.0;93.0;295.0;248.0;5515.0;9.0;11877.0;383.0;1324.0;61401.0;6.0;0.0;9697.0;206.0;56.0;382.0;1707.0;0.003;17.0;450.0;8.0;1.0;86.0;171.0;11.0;126.0;0.0;180305_002854;42.0;3.0;11953.0;1448.0
24.532;283.0;136.0;419.0;292.0;6960.0;9.0;14645.0;525.0;1673.0;61401.0;8.0;0.0;12159.0;247.0;66.0;457.0;2209.0;0.004;20.0;566.0;8.0;1.0;102.0;229.0;12.0;145.0;0.0;180305_003154;59.0;3.0;14784.0;1915.0
24.582;332.0;168.0;474.0;342.0;8010.0;9.0;16848.0;601.0;1855.0;61401.0;8.0;0.0;14006.0;283.0;71.0;537.0;2572.0;0.005;27.0;635.0;8.0;1.0;115.0;263.0;16.0;163.0;0.0;180305_003454;73.0;5.0;17191.0;2142.0
24.632;454.0;213.0;701.0;498.0;13469.0;9.0;31314.0;830.0;2633.0;61401.0;16.0;0.0;20086.0;390.0;109.0;756.0;3966.0;0.006;27.0;1256.0;24.0;2.0;134.0;385.0;23.0;218.0;0.0;180305_003754;126.0;11.0;22019.0;3282.0
24.682;586.0;296.0;859.0;621.0;16819.0;15.0;38308.0;1076.0;3162.0;61401.0;20.0;0.0;24576.0;475.0;139.0;994.0;4965.0;0.008;33.0;1511.0;88.0;3.0;174.0;499.0;33.0;282.0;0.0;180305_004055;151.0;18.0;28641.0;3906.0
