returned,month,county,year,date,day,sent
24,9,adams,2018,2018/9/26,26,129
10,9,ashland,2018,2018/9/26,26,147
32,9,barron,2018,2018/9/26,26,336
30,9,bayfield,2018,2018/9/26,26,189
448,9,brown,2018,2018/9/26,26,4668
10,9,buffalo,2018,2018/9/26,26,82
14,9,burnett,2018,2018/9/26,26,75
25,9,calumet,2018,2018/9/26,26,540
83,9,chippewa,2018,2018/9/26,26,770
2,9,clark,2018,2018/9/26,26,141
90,9,columbia,2018,2018/9/26,26,611
14,9,crawford,2018,2018/9/26,26,108
710,9,dane,2018,2018/9/26,26,8424
85,9,dodge,2018,2018/9/26,26,869
11,9,door,2018,2018/9/26,26,510
82,9,douglas,2018,2018/9/26,26,881
81,9,dunn,2018,2018/9/26,26,385
132,9,eau claire,2018,2018/9/26,26,1234
11,9,florence,2018,2018/9/26,26,48
128,9,fond du lac,2018,2018/9/26,26,1336
18,9,forest,2018,2018/9/26,26,158
30,9,grant,2018,2018/9/26,26,341
13,9,green,2018,2018/9/26,26,276
1451,11,adams,2016,2016/11/9,9,1487
41,9,green lake,2018,2018/9/26,26,128
11,9,iowa,2018,2018/9/26,26,261
30,9,iron,2018,2018/9/26,26,105
2,9,jackson,2018,2018/9/26,26,53
60,9,jefferson,2018,2018/9/26,26,655
4,9,juneau,2018,2018/9/26,26,189
41,9,kenosha,2018,2018/9/26,26,2703
55,9,kewaunee,2018,2018/9/26,26,302
1028,11,ashland,2016,2016/11/9,9,1070
3448,11,barron,2016,2016/11/9,9,3546
1152,11,bayfield,2016,2016/11/9,9,1194
41848,11,brown,2016,2016/11/9,9,42581
596,11,buffalo,2016,2016/11/9,9,635
979,11,burnett,2016,2016/11/9,9,1015
5399,11,calumet,2016,2016/11/9,9,5481
59,9,la crosse,2018,2018/9/26,26,1550
11,9,lafayette,2018,2018/9/26,26,97
16,9,langlade,2018,2018/9/26,26,147
9,9,lincoln,2018,2018/9/26,26,264
181,9,manitowoc,2018,2018/9/26,26,1152
1442,11,adams,2016,2016/11/8,8,1488
6523,11,chippewa,2016,2016/11/9,9,6698
853,11,clark,2016,2016/11/9,9,924
6050,11,columbia,2016,2016/11/9,9,6146
882,11,crawford,2016,2016/11/9,9,921
126339,11,dane,2016,2016/11/9,9,129020
6449,11,dodge,2016,2016/11/9,9,6570
4104,11,door,2016,2016/11/9,9,4297
4820,11,douglas,2016,2016/11/9,9,4947
233,9,marathon,2018,2018/9/26,26,2056
102,9,marinette,2018,2018/9/26,26,489
1,9,marquette,2018,2018/9/26,26,105
5,9,menominee,2018,2018/9/26,26,7
670,9,milwaukee,2018,2018/9/26,26,14243
23,9,monroe,2018,2018/9/26,26,307
80,9,oconto,2018,2018/9/26,26,374
51,9,oneida,2018,2018/9/26,26,726
1362,11,adams,2016,2016/11/7,7,1428
1014,11,ashland,2016,2016/11/8,8,1070
3421,11,barron,2016,2016/11/8,8,3544
1136,11,bayfield,2016,2016/11/8,8,1190
41580,11,brown,2016,2016/11/8,8,42532
575,11,buffalo,2016,2016/11/8,8,625
972,11,burnett,2016,2016/11/8,8,1017
2866,11,dunn,2016,2016/11/9,9,2983
13662,11,eau claire,2016,2016/11/9,9,13882
303,11,florence,2016,2016/11/9,9,326
10063,11,fond du lac,2016,2016/11/9,9,10337
520,11,forest,2016,2016/11/9,9,538
3518,11,grant,2016,2016/11/9,9,3608
3091,11,green,2016,2016/11/9,9,3172
1137,11,green lake,2016,2016/11/9,9,1174
138,9,outagamie,2018,2018/9/26,26,2287
116,9,ozaukee,2018,2018/9/26,26,1679
4,9,pepin,2018,2018/9/26,26,20
11,9,pierce,2018,2018/9/26,26,204
47,9,polk,2018,2018/9/26,26,263
1452,11,adams,2016,2016/11/15,15,1485
989,11,ashland,2016,2016/11/7,7,1061
3297,11,barron,2016,2016/11/7,7,3476
1101,11,bayfield,2016,2016/11/7,7,1180
40981,11,brown,2016,2016/11/7,7,42389
530,11,buffalo,2016,2016/11/7,7,589
934,11,burnett,2016,2016/11/7,7,1003
5279,11,calumet,2016,2016/11/7,7,5446
6200,11,chippewa,2016,2016/11/7,7,6484
5369,11,calumet,2016,2016/11/8,8,5481
6436,11,chippewa,2016,2016/11/8,8,6674
847,11,clark,2016,2016/11/8,8,920
5996,11,columbia,2016,2016/11/8,8,6136
857,11,crawford,2016,2016/11/8,8,907
125909,11,dane,2016,2016/11/8,8,128979
6409,11,dodge,2016,2016/11/8,8,6569
2483,11,iowa,2016,2016/11/9,9,2517
567,11,iron,2016,2016/11/9,9,595
754,11,jackson,2016,2016/11/9,9,787
9709,11,jefferson,2016,2016/11/9,9,9982
1442,11,juneau,2016,2016/11/9,9,1541
28036,11,kenosha,2016,2016/11/9,9,28385
1420,11,kewaunee,2016,2016/11/9,9,1458
21800,11,la crosse,2016,2016/11/9,9,22046
97,9,portage,2018,2018/9/26,26,784
1,9,price,2018,2018/9/26,26,102
26,9,racine,2018,2018/9/26,26,3378
0,9,richland,2018,2018/9/26,26,39
136,9,rock,2018,2018/9/26,26,1696
8,9,rusk,2018,2018/9/26,26,94
1034,11,ashland,2016,2016/11/15,15,1076
3453,11,barron,2016,2016/11/15,15,3543
1152,11,bayfield,2016,2016/11/15,15,1190
41885,11,brown,2016,2016/11/15,15,42550
599,11,buffalo,2016,2016/11/15,15,635
758,11,clark,2016,2016/11/7,7,864
5817,11,columbia,2016,2016/11/7,7,6026
805,11,crawford,2016,2016/11/7,7,886
117714,11,dane,2016,2016/11/7,7,122734
6219,11,dodge,2016,2016/11/7,7,6445
3581,11,door,2016,2016/11/7,7,3851
4641,11,douglas,2016,2016/11/7,7,4871
2667,11,dunn,2016,2016/11/7,7,2883
3960,11,door,2016,2016/11/8,8,4204
4776,11,douglas,2016,2016/11/8,8,4943
2829,11,dunn,2016,2016/11/8,8,2984
13510,11,eau claire,2016,2016/11/8,8,13789
271,11,florence,2016,2016/11/8,8,294
9748,11,fond du lac,2016,2016/11/8,8,10093
505,11,forest,2016,2016/11/8,8,529
3494,11,grant,2016,2016/11/8,8,3607
621,11,lafayette,2016,2016/11/9,9,637
1113,11,langlade,2016,2016/11/9,9,1173
1737,11,lincoln,2016,2016/11/9,9,1820
8271,11,manitowoc,2016,2016/11/9,9,8426
