;EMILIA-ROMAGNA;FRIULI-VENEZIA GIULIA;MOLISE;LAZIO;LIGURIA;SARDEGNA;UMBRIA;SICILIA;CALABRIA;BASILICATA;VALLE D'AOSTA;MARCHE;TOSCANA;PIEMONTE;TIMESTAMP;CAMPANIA;ABRUZZO;TRENTINO-ALTO ADIGE;VENETO;PUGLIA;LOMBARDIA
23.981;0.04;0.15;0.0;0.0;0.22;0.0;0.0;0.0;0.0;0.0;0.0;0.13;0.05;0.17;180304_235850;0.0;0.12;0.0;0.04;0.0;0.0
24.031;0.07;0.15;0.0;0.0;0.22;0.05;0.0;0.0;0.0;0.0;0.0;0.13;0.08;0.19;180305_000151;0.0;0.12;0.0;0.06;0.0;0.0
24.081;0.07;0.15;0.0;0.0;0.22;0.05;0.0;0.0;0.0;0.0;0.0;0.13;0.13;0.31;180305_000451;0.0;0.18;0.0;0.11;0.0;0.01
24.131;0.07;0.15;0.0;0.0;0.22;0.11;0.0;0.0;0.0;0.0;0.0;0.13;0.18;0.33;180305_000752;0.0;0.18;0.0;0.15;0.0;0.01
24.181;0.07;0.29;0.0;0.0;0.39;0.11;0.0;0.0;0.0;0.0;0.0;0.13;0.2;0.44;180305_001052;0.02;0.37;0.0;0.21;0.0;0.04
24.231;0.07;0.37;0.0;0.0;0.61;0.11;0.0;0.0;0.0;0.0;0.0;0.25;0.3;0.56;180305_001352;0.02;0.37;0.0;0.21;0.0;0.05
24.281;0.07;0.44;0.0;0.0;0.78;0.11;0.0;0.0;0.0;0.0;0.0;0.25;0.35;0.6;180305_001653;0.02;0.37;0.0;0.23;0.0;0.05
24.331;0.09;0.58;0.0;0.0;0.78;0.11;0.0;0.0;0.0;0.0;0.0;0.32;0.46;0.75;180305_001953;0.03;0.37;0.0;0.27;0.0;0.05
24.381;0.11;0.8;0.0;0.0;0.84;0.16;0.0;0.0;0.0;0.0;0.0;0.32;0.48;1.04;180305_002253;0.03;0.37;0.0;0.4;0.0;0.07
24.431;0.13;1.02;0.0;0.0;0.89;0.16;0.0;0.0;0.0;0.0;0.0;0.32;0.51;1.18;180305_002553;0.05;0.37;0.0;0.46;0.0;0.1
24.482;0.16;1.1;0.25;0.0;0.95;0.16;0.0;0.0;0.0;0.0;0.0;0.38;0.66;1.5;180305_002854;0.07;0.43;0.1;0.7;0.02;0.14
24.532;0.24;1.31;0.25;0.0;1.12;0.16;0.0;0.0;0.0;0.0;0.0;0.44;0.81;1.72;180305_003154;0.09;0.43;0.1;0.89;0.05;0.16
24.582;0.24;1.61;0.25;0.02;1.23;0.16;0.0;0.0;0.0;0.0;0.0;0.7;0.96;1.95;180305_003454;0.09;0.55;0.1;0.97;0.05;0.18
24.632;0.33;1.97;0.25;0.06;1.45;0.16;0.0;0.0;0.0;0.0;0.0;0.89;1.11;2.22;180305_003754;1.01;0.73;0.2;1.18;0.05;0.21
24.682;0.49;2.48;0.25;0.09;1.84;0.33;0.2;0.02;0.0;0.0;0.0;1.27;1.34;2.45;180305_004055;1.18;0.73;0.39;1.52;0.05;0.23
24.732;0.51;2.92;0.51;0.09;2.24;0.33;0.6;0.02;0.0;0.0;0.0;1.52;1.64;3.05;180305_004355;1.49;0.79;0.39;2.05;0.07;0.27
24.782;1.2;3.43;0.51;0.09;2.24;0.38;1.19;0.02;0.04;0.29;0.0;1.65;1.82;3.49;180305_004655;1.65;1.22;0.59;2.28;0.1;0.3
24.832;1.35;3.8;1.02;0.09;2.29;0.38;1.29;0.02;0.04;0.29;0.0;1.72;2.02;3.63;180305_004955;1.91;1.53;0.59;2.57;0.15;0.3
24.882;1.64;4.38;1.02;0.15;2.52;0.49;1.29;0.02;0.12;0.44;0.0;2.03;2.35;3.99;180305_005256;2.18;1.65;0.59;2.89;0.2;0.4
24.931;1.71;4.53;1.02;0.23;2.91;0.6;1.29;0.09;0.17;0.59;0.0;2.03;2.5;4.13;180305_005552;2.39;1.71;0.59;3.14;0.35;0.44
24.981;1.86;4.67;1.02;0.23;2.91;0.65;1.29;0.09;0.17;0.59;0.0;2.03;3.87;4.22;180305_005852;2.81;1.71;0.59;3.21;0.37;0.47
25.031;1.91;4.89;1.02;0.23;3.13;0.65;1.39;0.09;0.17;0.59;0.0;2.35;4.12;4.8;180305_010153;2.87;1.71;0.59;3.55;0.4;0.48
25.081;3.28;6.06;1.27;0.26;3.75;0.87;3.58;0.38;0.5;0.73;0.0;3.75;5.87;5.71;180305_010453;3.74;2.32;1.38;5.44;0.67;0.79
25.132;3.73;6.72;1.27;0.26;3.97;1.03;3.58;0.51;0.5;0.73;0.0;4.19;6.15;6.25;180305_010754;4.05;2.38;1.77;6.22;0.72;0.87
25.182;4.41;7.67;1.27;0.28;4.02;1.25;3.58;0.59;0.5;0.73;0.0;4.76;6.68;6.9;180305_011054;4.58;2.56;1.77;7.49;0.84;0.92
25.232;4.86;8.69;1.27;0.28;4.08;1.63;3.88;0.64;0.79;0.73;0.0;6.42;7.18;7.14;180305_011355;5.03;2.99;1.87;8.1;0.92;1.0
25.282;5.28;9.35;1.27;0.34;4.7;2.23;3.88;0.7;0.95;0.88;0.0;7.31;7.44;7.5;180305_011655;5.25;3.23;1.87;8.42;1.17;1.11
25.332;6.32;10.3;1.27;0.38;5.2;2.45;3.88;0.7;0.99;0.88;0.0;8.89;8.62;8.58;180305_011955;5.65;3.48;1.97;8.88;1.24;1.17
25.382;7.27;11.1;1.27;0.47;6.26;2.56;6.17;0.72;1.08;1.03;0.0;9.34;9.21;9.51;180305_012255;6.3;3.6;2.36;9.62;1.71;1.41
25.434;7.58;11.69;1.78;0.51;7.71;2.83;6.97;0.79;1.2;1.03;0.0;9.72;9.71;9.95;180305_012601;6.64;3.84;2.95;10.45;2.48;1.44
