amount,perc_conmaj,month,day,hour,minute
442422,65.4,11,25,18,0
442788,64.9,11,25,18,15
442830,65.2,11,25,18,21
443245,64.3,11,25,18,47
446282,64.9,11,25,20,9
448089,65.6,11,25,22,36
450285,66.2,11,25,23,24
466476,66.7,11,26,21,37
518117,67.6,11,27,14,49
540647,69.7,11,27,18,42
598817,70.6,11,27,23,1
638962,68.5,11,30,15,7
647617,65.1,11,30,18,5
652271,65.3,11,30,19,39
656827,67.3,11,30,20,37
666480,66,12,1,12,20
681000,63.5,12,2,13,42
687146,64,12,2,17,50
691143,65.2,12,2,19,49
695834,65.6,12,3,0,29
714616,65.6,12,3,16,31
721051,66,12,3,19,7
723521,66.4,12,3,19,23
728529,66.9,12,3,20,39
734464,67.1,12,4,0,8
749692,69.2,12,4,12,20
764425,69.7,12,4,17,54
765224,70.2,12,4,19,48
791082,71.7,12,5,13,40
801435,70.2,12,5,15,28
806575,71.2,12,5,16,43
811241,68.5,12,5,17,54
811503,70.2,12,5,17,59
813729,70.4,12,5,20,14
814940,71.2,12,5,21,57
821950,71.7,12,6,11,56
823645,71.2,12,6,12,50
827712,70.3,12,6,15,58
829033,70.7,12,6,18,13
839239,70.7,12,6,21,33
840110,70.7,12,6,22,0
841001,70.5,12,6,22,11
841054,70.5,12,6,22,27
841448,70.4,12,6,22,32
843003,70.7,12,6,22,38
843913,71.2,12,6,22,43
845068,70.9,12,6,22,48
845225,71.7,12,6,22,54
845363,71.4,12,6,23,5
845552,71.4,12,6,23,53
845620,71.4,12,7,0,36
846234,71.5,12,7,1,14
856047,71.7,12,7,12,41
858796,72,12,7,14,6
858952,72.2,12,7,14,17
858978,71.9,12,7,14,28
859258,72.2,12,7,15,54
859373,72.7,12,7,16,26
866270,70.7,12,7,17,25
866375,69.7,12,7,17,30
866470,70.2,12,7,17,36
866654,70.7,12,7,17,41
866970,70.7,12,7,18,3
867303,71.2,12,7,18,13
867367,70.7,12,7,18,40
867420,70.7,12,7,18,51
867583,71.2,12,7,19,7
868653,70.4,12,7,19,45
872796,71.7,12,7,22,58
876616,73,12,7,23,46
879955,73.5,12,8,2,11
883951,73.7,12,8,11,13
887443,73.3,12,8,14,4
887967,73,12,8,14,26
888190,72.7,12,8,15,36
889278,72.2,12,8,16,19
889577,73,12,8,16,29
890529,73.3,12,8,16,35
890895,73.8,12,8,16,56
891056,73.8,12,8,19,21
891069,73.8,12,8,19,37
892941,73.8,12,8,20,10
893918,74.4,12,8,20,26
896785,74.9,12,8,20,42
897064,75.5,12,8,21,4
902236,74.9,12,8,21,41
903765,74.6,12,8,22,25
908096,74.1,12,8,23,14
908149,74.1,12,8,23,25
