fipscode,level,officeid,party,polid,polnum,precinctsreporting,precinctsreportingpct,precinctstotal,raceid,runoff,seatnum,statepostal,votecount,votepct,winner,state_slug,office_slug
,state,G,Dem,64524,20241,3052,0.8341,3659,18525,False,,KY,610883,0.502683,False,kentucky,governor
,state,G,GOP,63424,20103,3052,0.8341,3659,18525,False,,KY,580516,0.477695,False,kentucky,governor
,state,G,Lib,67927,20628,3052,0.8341,3659,18525,False,,KY,23846,0.019622,False,kentucky,governor
21001,county,G,GOP,63424,20103,0,0.0,16,18525,False,,KY,617,0.71412,False,kentucky,governor
21001,county,G,Dem,64524,20241,0,0.0,16,18525,False,,KY,233,0.269676,False,kentucky,governor
21001,county,G,Lib,67927,20628,0,0.0,16,18525,False,,KY,14,0.016204,False,kentucky,governor
21003,county,G,GOP,63424,20103,13,1.0,13,18525,False,,KY,3564,0.671313,False,kentucky,governor
21003,county,G,Dem,64524,20241,13,1.0,13,18525,False,,KY,1649,0.310605,False,kentucky,governor
21003,county,G,Lib,67927,20628,13,1.0,13,18525,False,,KY,96,0.018083,False,kentucky,governor
21005,county,G,GOP,63424,20103,14,1.0,14,18525,False,,KY,5143,0.560667,False,kentucky,governor
21005,county,G,Dem,64524,20241,14,1.0,14,18525,False,,KY,3810,0.415349,False,kentucky,governor
21005,county,G,Lib,67927,20628,14,1.0,14,18525,False,,KY,220,0.023983,False,kentucky,governor
21007,county,G,Dem,64524,20241,0,0.0,13,18525,False,,KY,0,0.0,False,kentucky,governor
21007,county,G,GOP,63424,20103,0,0.0,13,18525,False,,KY,0,0.0,False,kentucky,governor
21007,county,G,Lib,67927,20628,0,0.0,13,18525,False,,KY,0,0.0,False,kentucky,governor
21009,county,G,GOP,63424,20103,13,0.52,25,18525,False,,KY,3497,0.555432,False,kentucky,governor
21009,county,G,Dem,64524,20241,13,0.52,25,18525,False,,KY,2681,0.425826,False,kentucky,governor
21009,county,G,Lib,67927,20628,13,0.52,25,18525,False,,KY,118,0.018742,False,kentucky,governor
21011,county,G,Dem,64524,20241,12,1.0,12,18525,False,,KY,1886,0.519846,False,kentucky,governor
21011,county,G,GOP,63424,20103,12,1.0,12,18525,False,,KY,1672,0.46086,False,kentucky,governor
21011,county,G,Lib,67927,20628,12,1.0,12,18525,False,,KY,70,0.019294,False,kentucky,governor
21013,county,G,GOP,63424,20103,30,1.0,30,18525,False,,KY,3398,0.616809,False,kentucky,governor
21013,county,G,Dem,64524,20241,30,1.0,30,18525,False,,KY,2013,0.365402,False,kentucky,governor
21013,county,G,Lib,67927,20628,30,1.0,30,18525,False,,KY,98,0.017789,False,kentucky,governor
21015,county,G,GOP,63424,20103,63,1.0,63,18525,False,,KY,23000,0.562114,False,kentucky,governor
21015,county,G,Dem,64524,20241,63,1.0,63,18525,False,,KY,16947,0.41418,False,kentucky,governor
21015,county,G,Lib,67927,20628,63,1.0,63,18525,False,,KY,970,0.023707,False,kentucky,governor
21017,county,G,GOP,63424,20103,16,1.0,16,18525,False,,KY,3463,0.50123,False,kentucky,governor
21017,county,G,Dem,64524,20241,16,1.0,16,18525,False,,KY,3323,0.480967,False,kentucky,governor
21017,county,G,Lib,67927,20628,16,1.0,16,18525,False,,KY,123,0.017803,False,kentucky,governor
21019,county,G,Dem,64524,20241,48,1.0,48,18525,False,,KY,6989,0.517627,False,kentucky,governor
21019,county,G,GOP,63424,20103,48,1.0,48,18525,False,,KY,6182,0.457858,False,kentucky,governor
21019,county,G,Lib,67927,20628,48,1.0,48,18525,False,,KY,331,0.024515,False,kentucky,governor
21021,county,G,GOP,63424,20103,25,1.0,25,18525,False,,KY,5103,0.490673,False,kentucky,governor
21021,county,G,Dem,64524,20241,25,1.0,25,18525,False,,KY,5099,0.490288,False,kentucky,governor
21021,county,G,Lib,67927,20628,25,1.0,25,18525,False,,KY,198,0.019038,False,kentucky,governor
21023,county,G,GOP,63424,20103,8,1.0,8,18525,False,,KY,1367,0.539889,False,kentucky,governor
21023,county,G,Dem,64524,20241,8,1.0,8,18525,False,,KY,1063,0.419826,False,kentucky,governor
21023,county,G,Lib,67927,20628,8,1.0,8,18525,False,,KY,102,0.040284,False,kentucky,governor
21025,county,G,Dem,64524,20241,21,1.0,21,18525,False,,KY,1798,0.501954,False,kentucky,governor
21025,county,G,GOP,63424,20103,21,1.0,21,18525,False,,KY,1734,0.484087,False,kentucky,governor
21025,county,G,Lib,67927,20628,21,1.0,21,18525,False,,KY,50,0.013959,False,kentucky,governor
21027,county,G,GOP,63424,20103,14,0.875,16,18525,False,,KY,3228,0.560417,False,kentucky,governor
21027,county,G,Dem,64524,20241,14,0.875,16,18525,False,,KY,2390,0.414931,False,kentucky,governor
21027,county,G,Lib,67927,20628,14,0.875,16,18525,False,,KY,142,0.024653,False,kentucky,governor
21029,county,G,GOP,63424,20103,47,1.0,47,18525,False,,KY,14517,0.547977,False,kentucky,governor
21029,county,G,Dem,64524,20241,47,1.0,47,18525,False,,KY,11275,0.4256,False,kentucky,governor
21029,county,G,Lib,67927,20628,47,1.0,47,18525,False,,KY,700,0.026423,False,kentucky,governor
21031,county,G,Dem,64524,20241,0,0.0,12,18525,False,,KY,0,0.0,False,kentucky,governor
21031,county,G,GOP,63424,20103,0,0.0,12,18525,False,,KY,0,0.0,False,kentucky,governor
21031,county,G,Lib,67927,20628,0,0.0,12,18525,False,,KY,0,0.0,False,kentucky,governor
21033,county,G,Dem,64524,20241,0,0.0,13,18525,False,,KY,0,0.0,False,kentucky,governor
21033,county,G,GOP,63424,20103,0,0.0,13,18525,False,,KY,0,0.0,False,kentucky,governor
21033,county,G,Lib,67927,20628,0,0.0,13,18525,False,,KY,0,0.0,False,kentucky,governor
21035,county,G,GOP,63424,20103,15,0.6522,23,18525,False,,KY,5633,0.530015,False,kentucky,governor
21035,county,G,Dem,64524,20241,15,0.6522,23,18525,False,,KY,4817,0.453237,False,kentucky,governor
21035,county,G,Lib,67927,20628,15,0.6522,23,18525,False,,KY,178,0.016748,False,kentucky,governor
21037,county,G,Dem,64524,20241,61,0.9104000000000001,67,18525,False,,KY,14623,0.529992,False,kentucky,governor
21037,county,G,GOP,63424,20103,61,0.9104000000000001,67,18525,False,,KY,12424,0.450292,False,kentucky,governor
21037,county,G,Lib,67927,20628,61,0.9104000000000001,67,18525,False,,KY,544,0.019717,False,kentucky,governor
21039,county,G,GOP,63424,20103,0,0.0,6,18525,False,,KY,50,0.549451,False,kentucky,governor
21039,county,G,Dem,64524,20241,0,0.0,6,18525,False,,KY,39,0.428571,False,kentucky,governor
21039,county,G,Lib,67927,20628,0,0.0,6,18525,False,,KY,2,0.021978,False,kentucky,governor
21041,county,G,GOP,63424,20103,12,1.0,12,18525,False,,KY,1374,0.523828,False,kentucky,governor
21041,county,G,Dem,64524,20241,12,1.0,12,18525,False,,KY,1184,0.451392,False,kentucky,governor
21041,county,G,Lib,67927,20628,12,1.0,12,18525,False,,KY,65,0.024781,False,kentucky,governor
21043,county,G,Dem,64524,20241,26,1.0,26,18525,False,,KY,3732,0.504256,False,kentucky,governor
21043,county,G,GOP,63424,20103,26,1.0,26,18525,False,,KY,3442,0.465072,False,kentucky,governor
21043,county,G,Lib,67927,20628,26,1.0,26,18525,False,,KY,227,0.030672,False,kentucky,governor
21045,county,G,GOP,63424,20103,15,1.0,15,18525,False,,KY,3530,0.734804,False,kentucky,governor
21045,county,G,Dem,64524,20241,15,1.0,15,18525,False,,KY,1208,0.251457,False,kentucky,governor
21045,county,G,Lib,67927,20628,15,1.0,15,18525,False,,KY,66,0.013739,False,kentucky,governor
21047,county,G,GOP,63424,20103,31,0.7561,41,18525,False,,KY,5824,0.52984,False,kentucky,governor
21047,county,G,Dem,64524,20241,31,0.7561,41,18525,False,,KY,4948,0.450146,False,kentucky,governor
21047,county,G,Lib,67927,20628,31,0.7561,41,18525,False,,KY,220,0.020015,False,kentucky,governor
21049,county,G,GOP,63424,20103,26,1.0,26,18525,False,,KY,6777,0.525716,False,kentucky,governor
21049,county,G,Dem,64524,20241,26,1.0,26,18525,False,,KY,5876,0.455822,False,kentucky,governor
21049,county,G,Lib,67927,20628,26,1.0,26,18525,False,,KY,238,0.018462,False,kentucky,governor
21051,county,G,GOP,63424,20103,20,1.0,20,18525,False,,KY,3225,0.698203,False,kentucky,governor
21051,county,G,Dem,64524,20241,20,1.0,20,18525,False,,KY,1298,0.281013,False,kentucky,governor
21051,county,G,Lib,67927,20628,20,1.0,20,18525,False,,KY,96,0.020784,False,kentucky,governor
21053,county,G,GOP,63424,20103,13,1.0,13,18525,False,,KY,2047,0.735273,False,kentucky,governor
21053,county,G,Dem,64524,20241,13,1.0,13,18525,False,,KY,692,0.248563,False,kentucky,governor
21053,county,G,Lib,67927,20628,13,1.0,13,18525,False,,KY,45,0.016164,False,kentucky,governor
21055,county,G,GOP,63424,20103,4,0.3333,12,18525,False,,KY,695,0.676728,False,kentucky,governor
21055,county,G,Dem,64524,20241,4,0.3333,12,18525,False,,KY,304,0.296008,False,kentucky,governor
21055,county,G,Lib,67927,20628,4,0.3333,12,18525,False,,KY,28,0.027264,False,kentucky,governor
21057,county,G,GOP,63424,20103,10,1.0,10,18525,False,,KY,1418,0.726062,False,kentucky,governor
21057,county,G,Dem,64524,20241,10,1.0,10,18525,False,,KY,502,0.25704,False,kentucky,governor
21057,county,G,Lib,67927,20628,10,1.0,10,18525,False,,KY,33,0.016897,False,kentucky,governor
21059,county,G,Dem,64524,20241,30,0.5357000000000001,56,18525,False,,KY,8305,0.496117,False,kentucky,governor
21059,county,G,GOP,63424,20103,30,0.5357000000000001,56,18525,False,,KY,8010,0.478495,False,kentucky,governor
21059,county,G,Lib,67927,20628,30,0.5357000000000001,56,18525,False,,KY,425,0.025388,False,kentucky,governor
21061,county,G,GOP,63424,20103,0,0.0,8,18525,False,,KY,116,0.60733,False,kentucky,governor
21061,county,G,Dem,64524,20241,0,0.0,8,18525,False,,KY,73,0.382199,False,kentucky,governor
21061,county,G,Lib,67927,20628,0,0.0,8,18525,False,,KY,2,0.010471,False,kentucky,governor
21063,county,G,Dem,64524,20241,1,0.1429,7,18525,False,,KY,109,0.717105,False,kentucky,governor
21063,county,G,GOP,63424,20103,1,0.1429,7,18525,False,,KY,41,0.269737,False,kentucky,governor
21063,county,G,Lib,67927,20628,1,0.1429,7,18525,False,,KY,2,0.013158,False,kentucky,governor
21065,county,G,GOP,63424,20103,15,1.0,15,18525,False,,KY,2427,0.586941,False,kentucky,governor
21065,county,G,Dem,64524,20241,15,1.0,15,18525,False,,KY,1617,0.391052,False,kentucky,governor
21065,county,G,Lib,67927,20628,15,1.0,15,18525,False,,KY,91,0.022007,False,kentucky,governor
21067,county,G,Dem,64524,20241,286,1.0,286,18525,False,,KY,73397,0.655149,False,kentucky,governor
21067,county,G,GOP,63424,20103,286,1.0,286,18525,False,,KY,36915,0.329507,False,kentucky,governor
21067,county,G,Lib,67927,20628,286,1.0,286,18525,False,,KY,1719,0.015344,False,kentucky,governor
21069,county,G,GOP,63424,20103,18,1.0,18,18525,False,,KY,2818,0.59881,False,kentucky,governor
21069,county,G,Dem,64524,20241,18,1.0,18,18525,False,,KY,1807,0.383978,False,kentucky,governor
