fipscode,level,officeid,party,polid,polnum,precinctsreporting,precinctsreportingpct,precinctstotal,raceid,runoff,seatnum,statepostal,votecount,votepct,winner,state_slug,office_slug
,state,G,GOP,67931,22010,5,0.0013000000000000002,3934,19869,False,,LA,65439,0.595799,False,louisiana,governor
,state,G,Dem,27723,20944,5,0.0013000000000000002,3934,19869,False,,LA,44395,0.404201,False,louisiana,governor
22001,county,G,Dem,27723,20944,0,0.0,55,19869,False,,LA,0,0.0,False,louisiana,governor
22001,county,G,GOP,67931,22010,0,0.0,55,19869,False,,LA,0,0.0,False,louisiana,governor
22003,county,G,Dem,27723,20944,0,0.0,29,19869,False,,LA,0,0.0,False,louisiana,governor
22003,county,G,GOP,67931,22010,0,0.0,29,19869,False,,LA,0,0.0,False,louisiana,governor
22005,county,G,GOP,67931,22010,0,0.0,74,19869,False,,LA,8955,0.526827,False,louisiana,governor
22005,county,G,Dem,27723,20944,0,0.0,74,19869,False,,LA,8043,0.473173,False,louisiana,governor
22007,county,G,Dem,27723,20944,0,0.0,28,19869,False,,LA,1594,0.575867,False,louisiana,governor
22007,county,G,GOP,67931,22010,0,0.0,28,19869,False,,LA,1174,0.424133,False,louisiana,governor
22009,county,G,Dem,27723,20944,0,0.0,49,19869,False,,LA,0,0.0,False,louisiana,governor
22009,county,G,GOP,67931,22010,0,0.0,49,19869,False,,LA,0,0.0,False,louisiana,governor
22011,county,G,Dem,27723,20944,0,0.0,40,19869,False,,LA,0,0.0,False,louisiana,governor
22011,county,G,GOP,67931,22010,0,0.0,40,19869,False,,LA,0,0.0,False,louisiana,governor
22013,county,G,Dem,27723,20944,0,0.0,33,19869,False,,LA,915,0.600394,False,louisiana,governor
22013,county,G,GOP,67931,22010,0,0.0,33,19869,False,,LA,609,0.399606,False,louisiana,governor
22015,county,G,Dem,27723,20944,0,0.0,82,19869,False,,LA,0,0.0,False,louisiana,governor
22015,county,G,GOP,67931,22010,0,0.0,82,19869,False,,LA,0,0.0,False,louisiana,governor
22017,county,G,Dem,27723,20944,0,0.0,151,19869,False,,LA,0,0.0,False,louisiana,governor
22017,county,G,GOP,67931,22010,0,0.0,151,19869,False,,LA,0,0.0,False,louisiana,governor
22019,county,G,Dem,27723,20944,0,0.0,123,19869,False,,LA,0,0.0,False,louisiana,governor
