fipscode,level,officeid,party,polid,polnum,precinctsreporting,precinctsreportingpct,precinctstotal,raceid,runoff,seatnum,statepostal,votecount,votepct,winner,state_slug,office_slug
,state,G,GOP,64539,27165,150,0.0848,1768,25002,False,,MS,24058,0.505431,False,mississippi,governor
,state,G,Dem,27770,27160,150,0.0848,1768,25002,False,,MS,22862,0.480304,False,mississippi,governor
,state,G,Ind,67929,28638,150,0.0848,1768,25002,False,,MS,512,0.010757,False,mississippi,governor
,state,G,CST,67928,28628,150,0.0848,1768,25002,False,,MS,167,0.003508,False,mississippi,governor
28001,county,G,CST,67928,28628,0,0.0,19,25002,False,,MS,0,0.0,False,mississippi,governor
28001,county,G,Dem,27770,27160,0,0.0,19,25002,False,,MS,0,0.0,False,mississippi,governor
28001,county,G,GOP,64539,27165,0,0.0,19,25002,False,,MS,0,0.0,False,mississippi,governor
28001,county,G,Ind,67929,28638,0,0.0,19,25002,False,,MS,0,0.0,False,mississippi,governor
28003,county,G,GOP,64539,27165,1,0.0588,17,25002,False,,MS,815,0.870726,False,mississippi,governor
28003,county,G,Dem,27770,27160,1,0.0588,17,25002,False,,MS,107,0.114316,False,mississippi,governor
28003,county,G,Ind,67929,28638,1,0.0588,17,25002,False,,MS,8,0.008547,False,mississippi,governor
28003,county,G,CST,67928,28628,1,0.0588,17,25002,False,,MS,6,0.00641,False,mississippi,governor
28005,county,G,GOP,64539,27165,1,0.047599999999999996,21,25002,False,,MS,185,0.531609,False,mississippi,governor
28005,county,G,Dem,27770,27160,1,0.047599999999999996,21,25002,False,,MS,93,0.267241,False,mississippi,governor
28005,county,G,CST,67928,28628,1,0.047599999999999996,21,25002,False,,MS,43,0.123563,False,mississippi,governor
28005,county,G,Ind,67929,28638,1,0.047599999999999996,21,25002,False,,MS,27,0.077586,False,mississippi,governor
28007,county,G,GOP,64539,27165,12,0.6,20,25002,False,,MS,1356,0.588542,False,mississippi,governor
28007,county,G,Dem,27770,27160,12,0.6,20,25002,False,,MS,929,0.403212,False,mississippi,governor
28007,county,G,Ind,67929,28638,12,0.6,20,25002,False,,MS,16,0.006944,False,mississippi,governor
28007,county,G,CST,67928,28628,12,0.6,20,25002,False,,MS,3,0.001302,False,mississippi,governor
28009,county,G,Dem,27770,27160,1,0.2,5,25002,False,,MS,252,0.7,False,mississippi,governor
28009,county,G,GOP,64539,27165,1,0.2,5,25002,False,,MS,105,0.291667,False,mississippi,governor
28009,county,G,Ind,67929,28638,1,0.2,5,25002,False,,MS,2,0.005556,False,mississippi,governor
28009,county,G,CST,67928,28628,1,0.2,5,25002,False,,MS,1,0.002778,False,mississippi,governor
28011,county,G,CST,67928,28628,0,0.0,28,25002,False,,MS,0,0.0,False,mississippi,governor
28011,county,G,Dem,27770,27160,0,0.0,28,25002,False,,MS,0,0.0,False,mississippi,governor
28011,county,G,GOP,64539,27165,0,0.0,28,25002,False,,MS,0,0.0,False,mississippi,governor
28011,county,G,Ind,67929,28638,0,0.0,28,25002,False,,MS,0,0.0,False,mississippi,governor
28013,county,G,CST,67928,28628,0,0.0,10,25002,False,,MS,0,0.0,False,mississippi,governor
28013,county,G,Dem,27770,27160,0,0.0,10,25002,False,,MS,0,0.0,False,mississippi,governor
28013,county,G,GOP,64539,27165,0,0.0,10,25002,False,,MS,0,0.0,False,mississippi,governor
28013,county,G,Ind,67929,28638,0,0.0,10,25002,False,,MS,0,0.0,False,mississippi,governor
28015,county,G,CST,67928,28628,0,0.0,14,25002,False,,MS,0,0.0,False,mississippi,governor
28015,county,G,Dem,27770,27160,0,0.0,14,25002,False,,MS,0,0.0,False,mississippi,governor
28015,county,G,GOP,64539,27165,0,0.0,14,25002,False,,MS,0,0.0,False,mississippi,governor
28015,county,G,Ind,67929,28638,0,0.0,14,25002,False,,MS,0,0.0,False,mississippi,governor
28017,county,G,Dem,27770,27160,1,0.0667,15,25002,False,,MS,508,0.811502,False,mississippi,governor
28017,county,G,GOP,64539,27165,1,0.0667,15,25002,False,,MS,115,0.183706,False,mississippi,governor
28017,county,G,Ind,67929,28638,1,0.0667,15,25002,False,,MS,3,0.004792,False,mississippi,governor
28017,county,G,CST,67928,28628,1,0.0667,15,25002,False,,MS,0,0.0,False,mississippi,governor
28019,county,G,CST,67928,28628,0,0.0,13,25002,False,,MS,0,0.0,False,mississippi,governor
28019,county,G,Dem,27770,27160,0,0.0,13,25002,False,,MS,0,0.0,False,mississippi,governor
28019,county,G,GOP,64539,27165,0,0.0,13,25002,False,,MS,0,0.0,False,mississippi,governor
28019,county,G,Ind,67929,28638,0,0.0,13,25002,False,,MS,0,0.0,False,mississippi,governor
28021,county,G,CST,67928,28628,0,0.0,11,25002,False,,MS,0,0.0,False,mississippi,governor
28021,county,G,Dem,27770,27160,0,0.0,11,25002,False,,MS,0,0.0,False,mississippi,governor
